problems,llm_used,difficulty,run_times
twoSum_easy.py,Codex,easy,0.03260016441345215
twoSum_easy.py,Copilot,easy,0.013061046600341797
sortedArray2HeightBalancedBST_easy.py,Codex,easy,0.019604206085205078
sortedArray2HeightBalancedBST_easy.py,Copilot,easy,0.017503976821899414
roman2integer_easy.py,Codex,easy,0.017496109008789062
roman2integer_easy.py,Copilot,easy,0.013622045516967773
sqrt(x)_easy.py,Codex,easy,0.014052867889404297
sqrt(x)_easy.py,Copilot,easy,0.012881994247436523
happyNumber_easy.py,Codex,easy,0.012446880340576172
happyNumber_easy.py,Copilot,easy,0.012703180313110352
ransomNote_easy.py,Codex,easy,0.012438058853149414
ransomNote_easy.py,Copilot,easy,0.012631893157958984
mergeTwoSortedLists_easy.py,Codex,easy,0.01615619659423828
mergeTwoSortedLists_easy.py,Copilot,easy,0.016054153442382812
palindromeNumber_easy.py,Codex,easy,0.012475013732910156
palindromeNumber_easy.py,Copilot,easy,0.012321233749389648
lengthOfLastWord_easy.py,Codex,easy,0.012453794479370117
lengthOfLastWord_easy.py,Copilot,easy,0.01256704330444336
isToeplitzMatrix_easy.py,Codex,easy,0.016363859176635742
isToeplitzMatrix_easy.py,Copilot,easy,0.016170024871826172
add2Numbers_medium.py,Codex,medium,0.016232967376708984
add2Numbers_medium.py,Copilot,medium,0.016253948211669922
search2Dmatrix_medium.py,Codex,medium,0.012495756149291992
search2Dmatrix_medium.py,Copilot,medium,0.012385129928588867
longestPalindromicSubstring_medium.py,Codex,medium,0.012485980987548828
longestPalindromicSubstring_medium.py,Copilot,medium,0.01338505744934082
jumpGame_medium.py,Codex,medium,0.013691902160644531
jumpGame_medium.py,Copilot,medium,0.017095088958740234
sortColors_medium.py,Codex,medium,0.012758731842041016
sortColors_medium.py,Copilot,medium,0.01248478889465332
validSudoku_medium.py,Codex,medium,0.01668095588684082
validSudoku_medium.py,Copilot,medium,0.01273798942565918
zigzagConversion_medium.py,Codex,medium,0.012558937072753906
zigzagConversion_medium.py,Copilot,medium,0.012456178665161133
combinationSum2_medium.py,Codex,medium,0.012681007385253906
combinationSum2_medium.py,Copilot,medium,0.01288604736328125
editDistance_medium.py,Codex,medium,0.012873172760009766
editDistance_medium.py,Copilot,medium,0.012774944305419922
string2integer_medium.py,Codex,medium,0.012608766555786133
string2integer_medium.py,Copilot,medium,0.01262807846069336
uniquePaths3_hard.py,Codex,hard,0.012752294540405273
uniquePaths3_hard.py,Copilot,hard,0.012716054916381836
leetcodeIPO_hard.py,Codex,hard,0.01703190803527832
leetcodeIPO_hard.py,Copilot,hard,0.012923240661621094
longestIncreasingPathInAMatrix_hard.py,Codex,hard,0.012392997741699219
longestIncreasingPathInAMatrix_hard.py,Copilot,hard,0.013733863830566406
wordLadder_hard.py,Codex,hard,0.017673969268798828
wordLadder_hard.py,Copilot,hard,0.014761924743652344
largestRectangleInHistogram_hard.py,Codex,hard,0.014105796813964844
largestRectangleInHistogram_hard.py,Copilot,hard,0.012921810150146484
permutationSequence_hard.py,Codex,hard,0.013126850128173828
permutationSequence_hard.py,Copilot,hard,0.012613058090209961
countVowelsPermutation_hard.py,Codex,hard,0.012448787689208984
countVowelsPermutation_hard.py,Copilot,hard,0.012526988983154297
smallestSufficientTeam_hard.py,Codex,hard,0.012771129608154297
smallestSufficientTeam_hard.py,Copilot,hard,0.014456987380981445
medianOfTwoSortedArrays_hard.py,Codex,hard,0.015371084213256836
medianOfTwoSortedArrays_hard.py,Copilot,hard,0.013303995132446289
burstBalloons_hard.py,Codex,hard,0.012784004211425781
burstBalloons_hard.py,Copilot,hard,0.012577056884765625
